#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
287,Hobart College Statesmen,26,14.2%,12,9.7,0.81,4.4,3.4,7.8,43.6%,48.8%,24.4%,12.2%,8%,37.6%
288,Franklin Grizzlies,25,13.7%,11,8.9,0.81,5.1,3.2,8.3,38.5%,41.8%,13.1%,14.2%,12%,38.7%
289,Moravian,26,8.1%,7.1,5.8,0.811,3,2.1,5.2,41%,45.1%,17.8%,10.8%,4.9%,37.8%
290,La Verne Leopards,26,8.8%,7.5,6.1,0.811,3,2.3,5.3,43.1%,46.7%,18.4%,13.8%,9.7%,40.8%
291,Immaculata,24,6.3%,5.5,4.5,0.812,2.5,1.5,4,36.8%,40.5%,15%,16.5%,12.8%,39.8%
292,Curry,24,7.3%,6.7,5.4,0.812,2.8,2.1,5,42.9%,45.4%,17.5%,9.4%,8.1%,40%
293,UMass Boston Beacons,25,7.1%,6,4.9,0.813,2.8,1.6,4.4,37.3%,45%,16%,12.7%,10.7%,36.7%
294,Ramapo College RoadRunners,30,5.8%,4.8,3.9,0.814,2,1.2,3.2,36.5%,45.3%,22.1%,13.1%,8.3%,35.2%
295,Wartburg Knights,26,12.8%,10.6,8.6,0.815,4.8,3,7.8,37.9%,44.3%,16.7%,11.6%,10.2%,36.4%
296,Buffalo State Bengals,24,9.7%,9,7.3,0.815,3.9,2.3,6.3,37.3%,43%,15.7%,16.7%,13.4%,38.4%
297,Mount St. Joseph Lions,26,13.9%,10.1,8.3,0.817,4.3,3,7.3,41.6%,46.6%,17.5%,12.2%,8.7%,38%
298,Scranton Royals,25,10%,7.7,6.3,0.818,3.2,2.4,5.6,42.6%,47.9%,17.7%,9.4%,6.8%,38.5%
299,Dubuque,26,11.4%,9.3,7.7,0.819,3.8,2.8,6.7,42.8%,46.2%,17.7%,12.3%,9.5%,39.9%
300,Marian University (WI) Sabres,25,11.1%,9.2,7.6,0.822,4,2.7,6.6,40.4%,44.9%,17.8%,13%,12.2%,38.7%
301,Geneva Golden Tornadoes,27,6.6%,5.4,4.4,0.822,2.5,1.7,4.1,40.2%,47.3%,17.1%,8.2%,6.8%,36.3%
302,Bowdoin Polar Bears,24,9.3%,7.5,6.2,0.822,3.4,2.3,5.7,39.7%,45.2%,16.1%,9.4%,7.8%,37.8%
303,Knox,17,8.9%,7.3,6,0.823,3,2.4,5.4,44%,49.5%,21%,8.9%,6.5%,37.9%
304,Houghton College Highlanders,20,8.7%,7.4,6.1,0.823,4,2.5,6.5,38.5%,41.5%,6.1%,6.1%,5.4%,39.5%
305,St. Mary's (MD) Seahawks,26,8.5%,7,5.8,0.825,3.4,2.2,5.7,39.5%,45.9%,14.8%,6.6%,6.6%,36.1%
306,Nebraska Wesleyan Prairie Wolves,34,7.7%,6.7,5.6,0.825,2.7,2.1,4.8,43.2%,47.5%,20.1%,10%,8.7%,39.3%
